[01:33｜5280｜消息0001] Gμo瓷材料我开pαn就把底苍全卖了 不剩了
[01:33｜5280｜消息0002] 我半路小加了点三孚Gμ份
[01:33｜5280｜消息0003] @所有人?之前的三妹怕不怕
[01:33｜5280｜消息0004] 我们连mǎi三天
[01:33｜5280｜消息0005] 我低吸了点海光信息
[01:33｜5280｜消息0006] 今天三妹其实是光纤里面最主动的
[01:33｜5280｜消息0007] 周末
[01:33｜5280｜消息0008] 那个光纤扩产的消息
[01:33｜5280｜消息0009] 其实就是最利好上游
[01:33｜5280｜消息0010] @所有人
[01:33｜5280｜消息0011] 我当时mǎi三孚就是这个扩产逻辑
[01:33｜5280｜消息0012] 所以我们做劳斯莱斯
[01:33｜5280｜消息0013] @所有人
[01:33｜5280｜消息0014] 产业Gμ价全部验证
[01:33｜我有上将潘凤｜消息0015] @所有人
[01:33｜我有上将潘凤｜消息0016] 澜起科技
[01:33｜我有上将潘凤｜消息0017] @所有人
[01:33｜我有上将潘凤｜消息0018] 我们只剩一半了
[01:33｜我有上将潘凤｜消息0019] 也历史新高了
[01:33｜我有上将潘凤｜消息0020] 反正左右都是賺钱
[01:33｜我有上将潘凤｜消息0021] 卖飞不卖飞已经不重要了
[01:33｜我有上将潘凤｜消息0022] Gμo瓷材料也是研究了逻辑mǎi的
[01:33｜我有上将潘凤｜消息0023] 所以
[01:33｜我有上将潘凤｜消息0024] ~~
[01:33｜我有上将潘凤｜消息0025] 我卖完了
[01:33｜我有上将潘凤｜消息0026] 我就昨天开pαn加了点
[01:33｜我有上将潘凤｜消息0027] 然后今天卖完了
[01:33｜我有上将潘凤｜消息0028] 昨天基本卖完了
[01:33｜我有上将潘凤｜消息0029] 三孚Gμ份回bαn我全卖了
[01:33｜我有上将潘凤｜消息0030] 澜起科技剩下的我也全卖完了
[01:33｜我有上将潘凤｜消息0031] mlgb
[01:33｜我有上将潘凤｜消息0032] 早上科技一跳
[01:33｜我有上将潘凤｜消息0033] 刷自己耳光
[01:33｜我有上将潘凤｜消息0034] 澜起科技。。。
[01:33｜我有上将潘凤｜消息0035] 草他妈
[01:33｜我有上将潘凤｜消息0036] Gμ票
[01:33｜我有上将潘凤｜消息0037] 真的要先被套住
[01:33｜我有上将潘凤｜消息0038] 就拿住了
[01:33｜我有上将潘凤｜消息0039] 而且苍位也给上去了
[01:33｜我有上将潘凤｜消息0040] 嗯
[01:33｜我有上将潘凤｜消息0041] 今天金融稳住了
[01:33｜我有上将潘凤｜消息0042] 那么科技剩下的
[01:33｜我有上将潘凤｜消息0043] 就不是卖点了
[01:33｜我有上将潘凤｜消息0044] 但是也别加了
[01:33｜我有上将潘凤｜消息0045] 两周满苍了
[01:33｜我有上将潘凤｜消息0046] 休息一下了
[01:33｜我有上将潘凤｜消息0047] 今天最多私信
[01:33｜我有上将潘凤｜消息0048] 天孚
[01:33｜我有上将潘凤｜消息0049] 为什么
[01:33｜我有上将潘凤｜消息0050] 三孚退呢
[01:33｜我有上将潘凤｜消息0051] 之前不是说
[01:33｜我有上将潘凤｜消息0052] 我加了点天孚刚刚
