[09:57｜我有上将潘凤｜消息0161] 大族激光翻红我减了一点点 不多
[09:57｜我有上将潘凤｜消息0162] 今天总体感觉
[09:57｜我有上将潘凤｜消息0163] ShΙ场不怕了
[09:57｜我有上将潘凤｜消息0164] 可以多看看
[09:58｜我有上将潘凤｜消息0165] 是ShΙ场之前害怕
[09:58｜我有上将潘凤｜消息0166] 上证退
[09:58｜我有上将潘凤｜消息0167] 今天应该摘帽了
[09:59｜我有上将潘凤｜消息0168] 永鼎Gμ份
[09:59｜我有上将潘凤｜消息0169] @所有人
[09:59｜我有上将潘凤｜消息0170] 。。。。
[09:59｜我有上将潘凤｜消息0171] 又卖飞了
[10:04｜我有上将潘凤｜消息0172] 大族激光 三个点以上我减一半
[10:08｜我有上将潘凤｜消息0173] 大族激光我先全卖了
[10:14｜我有上将潘凤｜消息0174] 昨晚失眠一晚上 吓死我了 大族
[10:14｜我有上将潘凤｜消息0175] 早上低开五个点 感觉 人生 完蛋了
[10:14｜我有上将潘凤｜消息0176] 我加了点海光信息
[10:14｜我有上将潘凤｜消息0177] 如果海光失败
[10:14｜我有上将潘凤｜消息0178] 我又要失眠了
[10:21｜我有上将潘凤｜消息0179] 平均两个点卖了
[10:21｜我有上将潘凤｜消息0180] 又卖飞了
[10:21｜我有上将潘凤｜消息0181] 我大族
[10:24｜我有上将潘凤｜消息0182] 发红包吧
[10:25｜我有上将潘凤｜消息0183] 不愧是老Gμ民
[10:52｜我有上将潘凤｜消息0184] 早上跳水挺好的
[10:52｜我有上将潘凤｜消息0185] 本身就要跳一下
[10:52｜我有上将潘凤｜消息0186] 昨晚无shυ人彻夜难眠
[10:52｜我有上将潘凤｜消息0187] 今天卖完去补觉了
[10:52｜我有上将潘凤｜消息0188] 美Gμo崩了 世界完了
[11:11｜我有上将潘凤｜消息0189] 我已经一个月没睡觉了
[11:11｜我有上将潘凤｜消息0190] 晚上又要失眠了嘛
[12:22｜我有上将潘凤｜消息0191] 【潘凤老师】
[12:22｜我有上将潘凤｜消息0192] 群里有些老师找到知音了
[12:22｜我有上将潘凤｜消息0193] 韩Gμo完了
[12:23｜我有上将潘凤｜消息0194] 人类彻底毁灭
