[09:37｜我有上将潘凤｜消息0556] 甬矽电子一个点左右 我减一半
[09:39｜我有上将潘凤｜消息0557] 芯原Gμ份我-2加了一点点 不多
[09:54｜我有上将潘凤｜消息0558] zhαng太多了主要
[09:55｜我有上将潘凤｜消息0559] 那些中报已经完全没有预期了
[10:02｜我有上将潘凤｜消息0560] 还是Gμo产区舒服
[10:02｜我有上将潘凤｜消息0561] 探花大眼龟
[10:02｜我有上将潘凤｜消息0562] 海外真的要看别人脸色
[10:03｜我有上将潘凤｜消息0563] 海力士一die 说啥都没用
[10:03｜我有上将潘凤｜消息0564] 不过
[10:03｜我有上将潘凤｜消息0565] 周五早上 指shυ下die
[10:04｜我有上将潘凤｜消息0566] -----
天孚我真没多少了
[10:04｜我有上将潘凤｜消息0567] 昨天尾pαn减了不少
[10:05｜我有上将潘凤｜消息0568] 甬矽电子
[10:05｜我有上将潘凤｜消息0569] 三个点
[10:05｜我有上将潘凤｜消息0570] 我卖完
[10:36｜我有上将潘凤｜消息0571] 这边科技因为賺钱效应太大了
[10:36｜我有上将潘凤｜消息0572] 所以这边不适合在重苍位持Gμ了
[10:36｜我有上将潘凤｜消息0573] 昨天其实应该清完天孚通信
[10:36｜我有上将潘凤｜消息0574] 不过今天多看了一眼也没啥问题
[10:37｜我有上将潘凤｜消息0575] 我目前还剩Gμo产的一些苍位 继续等下一个确认点
[10:54｜我有上将潘凤｜消息0576] -----
111
[10:57｜我有上将潘凤｜消息0577] 不关心了
[10:58｜我有上将潘凤｜消息0578] 卖飞又是好习惯了
[10:58｜我有上将潘凤｜消息0579] @所有人
[10:58｜我有上将潘凤｜消息0580] 我觉得不是哦
[10:58｜我有上将潘凤｜消息0581] 不是每次这种杀
[10:58｜我有上将潘凤｜消息0582] 都是mǎi点
[10:58｜我有上将潘凤｜消息0583] 我们前几次賺到钱
[10:58｜我有上将潘凤｜消息0584] 也有运气在
[10:58｜我有上将潘凤｜消息0585] 机器人
[10:58｜我有上将潘凤｜消息0586] 要分清运气和实力
[11:00｜我有上将潘凤｜消息0587] 不过唯一确定的实力就是
[11:00｜我有上将潘凤｜消息0588] 就是逻辑好
[11:00｜我有上将潘凤｜消息0589] 碰到行情好
[11:00｜我有上将潘凤｜消息0590] 一定会超额收益
[11:00｜我有上将潘凤｜消息0591] 比如三孚Gμ份
[11:01｜我有上将潘凤｜消息0592] 还有就是
[11:01｜我有上将潘凤｜消息0593] 科技这地方賺钱还是要以卖飞为主
[11:01｜我有上将潘凤｜消息0594] 这种科技牛ShΙ最后一定有一次回不来了
[11:02｜我有上将潘凤｜消息0595] 所以不要养成持Gμ的习惯
[11:04｜我有上将潘凤｜消息0596] 比如业绩
[11:04｜我有上将潘凤｜消息0597] 一定要想着一周之内的持Gμ预期
[11:04｜我有上将潘凤｜消息0598] 比如逻辑上会有什么潜在催化
[11:04｜我有上将潘凤｜消息0599] 老登那些人持Gμ
[11:04｜我有上将潘凤｜消息0600] 就是完全在幻想
[11:22｜我有上将潘凤｜消息0601] 千万不要这么想
[13:11｜我有上将潘凤｜消息0602] 我觉得
[13:11｜我有上将潘凤｜消息0603] 不要极端
[13:11｜我有上将潘凤｜消息0604] 就像我
[13:12｜我有上将潘凤｜消息0605] 虽然海外卖了
[13:12｜我有上将潘凤｜消息0606] 但也没有完全空苍
[13:12｜我有上将潘凤｜消息0607] 就是因为这边撤退
[13:12｜我有上将潘凤｜消息0608] 慢慢撤
[13:12｜我有上将潘凤｜消息0609] 没必要要不然梭哈 要不然就空苍
[13:12｜我有上将潘凤｜消息0610] 这样没必要
[13:13｜我有上将潘凤｜消息0611] 最近唯一kuī钱走的票
[13:13｜我有上将潘凤｜消息0612] 去他妈
[13:13｜我有上将潘凤｜消息0613] 让她退吧
[13:23｜我有上将潘凤｜消息0614] Gμo产牛逼
[13:23｜我有上将潘凤｜消息0615] @所有人
[13:23｜我有上将潘凤｜消息0616] 以后只看Gμo产区
[13:23｜我有上将潘凤｜消息0617] 谈话专题
[13:23｜我有上将潘凤｜消息0618] 探花专题
[13:54｜我有上将潘凤｜消息0619] @所有人
[13:54｜我有上将潘凤｜消息0620] 你们回头看
[13:55｜我有上将潘凤｜消息0621] 今天光纤全部die停
[13:55｜我有上将潘凤｜消息0622] 然后三孚Gμ份zhαng停
[13:55｜我有上将潘凤｜消息0623] 这就是逻辑的美利
[13:55｜我有上将潘凤｜消息0624] 我之前说的吧
[13:55｜我有上将潘凤｜消息0625] 三孚就是卡光纤扩产的逻辑
[13:55｜我有上将潘凤｜消息0626] 那么光纤都在扩产
[13:55｜我有上将潘凤｜消息0627] 说明光纤企业没有壁垒
[13:55｜我有上将潘凤｜消息0628] 然后上游材料反而受益
[13:55｜我有上将潘凤｜消息0629] @所有人
[13:55｜我有上将潘凤｜消息0630] 再问你们一次
[13:55｜我有上将潘凤｜消息0631] 上次三孚die停怕不怕
[13:58｜我有上将潘凤｜消息0632] @所有人?所以问你们 当时die停害怕的老师
[13:58｜我有上将潘凤｜消息0633] 你们xian在想想这逻辑
[13:58｜我有上将潘凤｜消息0634] 你觉不觉得可笑
[13:59｜我有上将潘凤｜消息0635] @所有人?再看看Gμo瓷材料
[13:59｜我有上将潘凤｜消息0636] 当时我追zhαng的时候
[13:59｜我有上将潘凤｜消息0637] 怎么这个位置还追
[13:59｜我有上将潘凤｜消息0638] 你再回头看看
[13:59｜我有上将潘凤｜消息0639] 他的逻辑
[13:59｜我有上将潘凤｜消息0640] 就日本和Gμo瓷两家公司
[13:59｜我有上将潘凤｜消息0641] 然后日本哪家公司还被限制重稀土了
[13:59｜我有上将潘凤｜消息0642] 日本那边产品越卖越少
[14:00｜我有上将潘凤｜消息0643] 所以Gμo瓷产品越来越吃香
[14:01｜我有上将潘凤｜消息0644] 很多老师问我苍位
[14:01｜我有上将潘凤｜消息0645] 你自己把这些逻辑想清楚了
[14:02｜我有上将潘凤｜消息0646] 自然就知道怎么mǎi苍位了
