[09:32｜我有上将潘凤｜消息0647] 心猿意马 七个点我减了一点点
[09:33｜我有上将潘凤｜消息0648] 你看看
[09:33｜我有上将潘凤｜消息0649] @所有人
[09:33｜我有上将潘凤｜消息0650] 甬矽电子
[09:33｜我有上将潘凤｜消息0651] 也是卖飞的
[09:33｜我有上将潘凤｜消息0652] 芯原Gμ份
[09:33｜我有上将潘凤｜消息0653] 留下了
[09:33｜我有上将潘凤｜消息0654] 反正都是来回
[09:36｜我有上将潘凤｜消息0655] 我半路了一点澜起科技
[09:44｜我有上将潘凤｜消息0656] 我半路了一点宏微科技
[09:48｜我有上将潘凤｜消息0657] @所有人
[09:48｜我有上将潘凤｜消息0658] 蓝妹
[09:48｜我有上将潘凤｜消息0659] 还是我们的蓝妹
[09:49｜我有上将潘凤｜消息0660] 爱的那么认真
[09:49｜我有上将潘凤｜消息0661] 爱的那么认真
[09:49｜我有上将潘凤｜消息0662] 爱的那么认真
[09:49｜我有上将潘凤｜消息0663] 又是给我们mǎi在启动了
[09:49｜我有上将潘凤｜消息0664] @所有人
[09:49｜我有上将潘凤｜消息0665] 这次比上次肉还大感觉
[09:50｜我有上将潘凤｜消息0666] @所有人
[09:50｜我有上将潘凤｜消息0667] 【潘凤老师】
[09:50｜我有上将潘凤｜消息0668] 是不是公开说的
[09:50｜我有上将潘凤｜消息0669] gzh底下是不是也说了
[09:50｜我有上将潘凤｜消息0670] gzh底下是不是也说了
[09:50｜我有上将潘凤｜消息0671] Gμo产探花系列
[09:51｜我有上将潘凤｜消息0672] Gμo产探花系列
[09:59｜我有上将潘凤｜消息0673] 芯原我总体就减了一点点
[09:59｜我有上将潘凤｜消息0674] 就是手贱
[10:00｜我有上将潘凤｜消息0675] 老师们不用过度解读
[10:10｜我有上将潘凤｜消息0676] 芯原Gμ份 我减了一半
[10:14｜我有上将潘凤｜消息0677] 这样 芯原Gμ份 我全清了
[10:16｜我有上将潘凤｜消息0678] 海外的
[10:16｜我有上将潘凤｜消息0679] 短期更不用看了
[10:16｜我有上将潘凤｜消息0680] 这边芯原Gμ份我卖完了
[10:16｜我有上将潘凤｜消息0681] 后面就Gμo产投机一下
[10:16｜我有上将潘凤｜消息0682] 不行 就彻底不玩了
