[09:29｜我有上将潘凤｜消息1221] 紫光这种板
[09:29｜我有上将潘凤｜消息1222] 低开五个点
[09:56｜我有上将潘凤｜消息1223] 我半路了一点点有研硅 很少 试错一下 17个点时候买的
[09:57｜我有上将潘凤｜消息1224] 科技觉得依然没有稳 所以只能试错的买点材料 但我觉得大趋势还没改变
[09:57｜我有上将潘凤｜消息1225] 比如昨天的紫光股份 中石科技 这些都是没有溢价
[10:04｜我有上将潘凤｜消息1226] 两个有研
[10:04｜我有上将潘凤｜消息1227] 都板了
[10:04｜我有上将潘凤｜消息1228] 说明了
[10:05｜我有上将潘凤｜消息1229] 修复主要走材料断
[10:05｜我有上将潘凤｜消息1230] 就是扩产受益
[10:05｜我有上将潘凤｜消息1231] 别别
[10:06｜我有上将潘凤｜消息1232] 我对大的环境
[10:06｜我有上将潘凤｜消息1233] 依然没信心
[10:06｜我有上将潘凤｜消息1234] 只是从短线来说
[10:06｜我有上将潘凤｜消息1235] 完全空仓好几天说不过去
[10:08｜我有上将潘凤｜消息1236] 下降趋势里面
[10:08｜我有上将潘凤｜消息1237] 这种赚到钱了
[10:08｜我有上将潘凤｜消息1238] 一定会继续出手
[10:09｜我有上将潘凤｜消息1239] 然后就怕不赚钱了
[10:09｜我有上将潘凤｜消息1240] 所以还是要极其谨慎
[10:11｜我有上将潘凤｜消息1241] 其实后面如果科技要炒的话
[10:11｜我有上将潘凤｜消息1242] 叙事逻辑就要变化了
[10:11｜我有上将潘凤｜消息1243] 不是以涨价为主了
[10:11｜我有上将潘凤｜消息1244] 而是以扩产为主了
[10:12｜我有上将潘凤｜消息1245] 芯原股份这种趋势的票
[10:12｜我有上将潘凤｜消息1246] 还是短时间不要参与
[10:12｜我有上将潘凤｜消息1247] 因为这牵扯到一个持股的问题
[10:12｜我有上将潘凤｜消息1248] 现在只要你持股
[10:12｜我有上将潘凤｜消息1249] 就是最大问题
[10:12｜我有上将潘凤｜消息1250] 最大亏损来源
[10:12｜我有上将潘凤｜消息1251] 最好的交易就是隔日
[10:13｜我有上将潘凤｜消息1252] 光纤这种
[10:13｜我有上将潘凤｜消息1253] 还在持股的
[10:13｜我有上将潘凤｜消息1254] 一看就是不看逻辑的
[10:13｜我有上将潘凤｜消息1255] 光纤的扩产
[10:13｜我有上将潘凤｜消息1256] 没有任何壁垒
[10:14｜我有上将潘凤｜消息1257] 甬矽电子
[10:14｜我有上将潘凤｜消息1258] 我那天就是买的扩产的逻辑
[10:14｜我有上将潘凤｜消息1259] 但是因为
[10:14｜我有上将潘凤｜消息1260] 没有板
[10:14｜我有上将潘凤｜消息1261] 就没意义
[10:14｜我有上将潘凤｜消息1262] 所以还不如今天这种打板
[10:16｜我有上将潘凤｜消息1263] 不是说了嘛
[10:16｜我有上将潘凤｜消息1264] 不要去判断趋势
[10:16｜我有上将潘凤｜消息1265] 因为买了你也拿不住了
[10:16｜我有上将潘凤｜消息1266] 这个地方
[10:16｜我有上将潘凤｜消息1267] 所以就是隔日判断就行了
[10:17｜我有上将潘凤｜消息1268] 买强的
[10:17｜我有上将潘凤｜消息1269] 也就是无论亏钱赚钱
[10:17｜我有上将潘凤｜消息1270] 第二天也就走了
[10:17｜我有上将潘凤｜消息1271] 不会缠打
[10:17｜我有上将潘凤｜消息1272] 这个地方缠打是个很危险的举动
[10:19｜我有上将潘凤｜消息1273] 控制好仓位 你手里买的股票 行就行 不行就不行
[10:19｜我有上将潘凤｜消息1274] 不要去和别人辩论 科技行不行
[10:19｜我有上将潘凤｜消息1275] 这里看空看多的都不会客观
[11:13｜我有上将潘凤｜消息1276] @所有人?你们的前女友
[11:15｜我有上将潘凤｜消息1277] 和现在的光
[11:15｜我有上将潘凤｜消息1278] 有没有区别呢
[11:15｜我有上将潘凤｜消息1279] 去年新能源车消费3500万辆
[11:15｜我有上将潘凤｜消息1280] 造了7000万
[11:15｜我有上将潘凤｜消息1281] 一半的卖不出去
[11:16｜我有上将潘凤｜消息1282] 汽车也赚到钱了
[11:16｜我有上将潘凤｜消息1283] 我不信华为没赚到钱
[11:16｜我有上将潘凤｜消息1284] byd海外也赚到钱了
[11:16｜我有上将潘凤｜消息1285] byd海外卖的可好了
[13:37｜我有上将潘凤｜消息1286] 这主要对待的是持股的人
[13:37｜我有上将潘凤｜消息1287] 时不时来点安慰
[13:38｜我有上将潘凤｜消息1288] 想起来 那时候碳酸锂也是一样
[13:38｜我有上将潘凤｜消息1289] 碳酸锂最终涨到50万了
[13:38｜我有上将潘凤｜消息1290] 然后股票是在30万的时候跌的
[13:38｜我有上将潘凤｜消息1291] 量化信
[13:38｜我有上将潘凤｜消息1292] 这样也好
[13:39｜我有上将潘凤｜消息1293] 有研硅 明天丢了
[13:39｜我有上将潘凤｜消息1294] [旺柴]
[13:57｜我有上将潘凤｜消息1295] 早上都说了
[13:57｜我有上将潘凤｜消息1296] 这地方
[13:57｜我有上将潘凤｜消息1297] 不看逻辑
[13:57｜我有上将潘凤｜消息1298] 只看强度
[13:57｜我有上将潘凤｜消息1299] 只要一夜情
[14:07｜我有上将潘凤｜消息1300] @所有人?轮动加快了
[14:07｜我有上将潘凤｜消息1301] 早上涨的下午都跌
[14:07｜我有上将潘凤｜消息1302] 早上跌的下午被拉起来
[14:08｜我有上将潘凤｜消息1303] 并不是好事
[14:16｜我有上将潘凤｜消息1304] @所有人?你们再回想一下
[14:16｜我有上将潘凤｜消息1305] 我和你们说的策略
[14:16｜我有上将潘凤｜消息1306] 是不是最简单的
[14:16｜我有上将潘凤｜消息1307] 不要和我说那么多 现在一夜的温柔
[14:16｜我有上将潘凤｜消息1308] 爽了就是爽了
[14:16｜我有上将潘凤｜消息1309] 不爽以后不联系了
[21:41｜5280｜消息1310] 不讨论
[21:41｜5280｜消息1311] 就转发一下看到的
