[10:05｜我有上将潘凤｜消息1634] ai的老师骂航天骂了一周末
[10:05｜我有上将潘凤｜消息1635] 今天终于少亏点
[10:05｜我有上将潘凤｜消息1636] 我的评价是 狗咬狗
[10:14｜我有上将潘凤｜消息1637] 我不是不看涨价
[10:14｜我有上将潘凤｜消息1638] 我是基本都不看
[10:14｜我有上将潘凤｜消息1639] 我才醒
[10:14｜我有上将潘凤｜消息1640] 这种直接修复更没意思了
[10:16｜我有上将潘凤｜消息1641] 这行情 少努力少亏点 还能有助于身心健康
[10:19｜我有上将潘凤｜消息1642] 早上起来看看别人额发言
[10:19｜我有上将潘凤｜消息1643] 姨母笑的看着可爱的老师们
[10:20｜我有上将潘凤｜消息1644] 其实也不能怪量化
[10:20｜我有上将潘凤｜消息1645] 国产就是概念
[10:20｜我有上将潘凤｜消息1646] 航天我都说了很多次
[10:21｜我有上将潘凤｜消息1647] 这些人亏在了没文化上面
[10:22｜我有上将潘凤｜消息1648] 让平时多读读书
[10:22｜我有上将潘凤｜消息1649] 天天刷抖音小姐姐跳舞
[10:22｜我有上将潘凤｜消息1650] 海上回收
[10:22｜我有上将潘凤｜消息1651] 马斯克五年前就搞了
[10:22｜我有上将潘凤｜消息1652] 后来应为成本的原因
[10:22｜我有上将潘凤｜消息1653] 放弃了
[10:25｜我有上将潘凤｜消息1654] 之前是不是和你们说
[10:26｜我有上将潘凤｜消息1655] 跌下来之后
[10:26｜我有上将潘凤｜消息1656] 大家发现
[10:26｜我有上将潘凤｜消息1657] 全是贴牌的
[11:17｜我有上将潘凤｜消息1658] 你说商业航天这个方向
[11:17｜我有上将潘凤｜消息1659] 从幅度上来说
[11:17｜我有上将潘凤｜消息1660] 我应该是赚的最多的一批人
[11:17｜我有上将潘凤｜消息1661] 按道理来说
[11:17｜我有上将潘凤｜消息1662] 应该也是我研究的最深刻的
[11:17｜我有上将潘凤｜消息1663] 居然还有人不信
[11:17｜我有上将潘凤｜消息1664] 所以弱小和无知从来不是生存的障碍
[11:17｜我有上将潘凤｜消息1665] 傲慢才是
[11:26｜我有上将潘凤｜消息1666] 哪里?
[11:26｜我有上将潘凤｜消息1667] 发我笑笑
[11:26｜我有上将潘凤｜消息1668] 666
[13:20｜我有上将潘凤｜消息1669] @所有人
[13:20｜我有上将潘凤｜消息1670] 半个月之内两次逃顶
[13:25｜我有上将潘凤｜消息1671] 肯定杀不出量啊
[13:25｜我有上将潘凤｜消息1672] ai里面的人还在那边骂呢
[13:26｜我有上将潘凤｜消息1673] “GJ也不管管”
[13:26｜我有上将潘凤｜消息1674] “xx反弹了带队了”
[13:26｜我有上将潘凤｜消息1675] “韩国跳楼了”
[13:26｜我有上将潘凤｜消息1676] 我说
[13:26｜我有上将潘凤｜消息1677] 炒股的人
[13:26｜我有上将潘凤｜消息1678] 真把自己当根葱了
[13:27｜我有上将潘凤｜消息1679] 其实除了股市外面
[13:27｜我有上将潘凤｜消息1680] 谁在乎你呢
[13:28｜我有上将潘凤｜消息1681] 人家长鑫科技上市融资成功 任务就完成了
[13:28｜我有上将潘凤｜消息1682] 都是巨婴思想
[13:28｜我有上将潘凤｜消息1683] 咱妈会管的
[13:29｜我有上将潘凤｜消息1684] “日本核废水毒害全世界”
[13:30｜我有上将潘凤｜消息1685] “小红书文化输出 征服全球”
[13:30｜我有上将潘凤｜消息1686] 好了 不讨论了
[13:30｜我有上将潘凤｜消息1687] ”顶峰相见“
[13:30｜我有上将潘凤｜消息1688] 以“顶峰相见”结尾
[13:32｜我有上将潘凤｜消息1689] 长鑫科技上
[13:32｜我有上将潘凤｜消息1690] 你放心
[13:32｜我有上将潘凤｜消息1691] 肯定有人要
[13:32｜我有上将潘凤｜消息1692] 的
[13:32｜我有上将潘凤｜消息1693] 不是你们担心的事
[13:32｜我有上将潘凤｜消息1694] 你不用给咱妈担心
[13:38｜我有上将潘凤｜消息1695] 长鑫科技
[13:38｜我有上将潘凤｜消息1696] 对于大部分人来说
[13:38｜我有上将潘凤｜消息1697] 除非这里大熊市了 开在低估的地方
[13:38｜我有上将潘凤｜消息1698] 没有交易价值
