[10:06｜5280｜消息1699] 有事嘛?
[10:06｜5280｜消息1700] 反转了嘛
[10:06｜5280｜消息1701] 牛市了嘛 发财了嘛
[10:06｜5280｜消息1702] ?
[10:06｜5280｜消息1703] 牛啊
[10:06｜5280｜消息1704] 这个可回收
[10:06｜5280｜消息1705] 还加速了
[10:06｜5280｜消息1706] 你们看现在这版块
[10:06｜5280｜消息1707] 拓荆科技红的
[10:06｜5280｜消息1708] 华丰科技
[10:06｜5280｜消息1709] 高开-12
[11:13｜我有上将潘凤｜消息1710] 说实在的
[11:13｜我有上将潘凤｜消息1711] 真不知道买啥
[11:18｜我有上将潘凤｜消息1712] 然后等着T
[11:18｜我有上将潘凤｜消息1713] 我感觉今天应该大部分量化
[11:18｜我有上将潘凤｜消息1714] 就是加了下自己的持仓
[11:50｜我有上将潘凤｜消息1715] 今天起早了
[11:51｜我有上将潘凤｜消息1716] 明天十一点起床
[12:20｜我有上将潘凤｜消息1717] 这地方某队不会买多少的
[12:20｜我有上将潘凤｜消息1718] 因为他们要留着钱
[12:20｜我有上将潘凤｜消息1719] 准备后面的
[12:21｜我有上将潘凤｜消息1720] 热度完全消散了
[12:21｜我有上将潘凤｜消息1721] 你这边肯定不能说
[12:21｜我有上将潘凤｜消息1722] 那你后面发行任务怎么办
[13:10｜我有上将潘凤｜消息1723] 我半路了一点行云科技 投机仓位
[13:51｜我有上将潘凤｜消息1724] 我还是那个主旨
[13:51｜我有上将潘凤｜消息1725] 我这边总体没有翻多啊 老师们不要误解
[13:54｜我有上将潘凤｜消息1726] 其实我感觉
[13:54｜我有上将潘凤｜消息1727] 这边不要去判断太过于精确
[13:54｜我有上将潘凤｜消息1728] 就是控制仓位
[13:54｜我有上将潘凤｜消息1729] 然后去感受水温
[13:54｜我有上将潘凤｜消息1730] 不过这地方我比上面更谨慎
[13:54｜我有上将潘凤｜消息1731] 上面还开了两枪
[13:54｜我有上将潘凤｜消息1732] 今天只想开一枪
[14:04｜我有上将潘凤｜消息1733] 其实海外链
[14:04｜我有上将潘凤｜消息1734] 肉眼可见的预期
[14:04｜我有上将潘凤｜消息1735] 就是博弈晚上的业绩
[14:04｜我有上将潘凤｜消息1736] 今晚应该会批量发业绩
[14:04｜我有上将潘凤｜消息1737] 南亚兴才这种中午都等不急就发的
[14:04｜我有上将潘凤｜消息1738] 一看就是指导了
[14:04｜我有上将潘凤｜消息1739] 但我觉得海外的里面筹码太复杂了
[14:04｜我有上将潘凤｜消息1740] 我还是那个策略
[14:04｜我有上将潘凤｜消息1741] 但也不会惊艳到哪里
[14:04｜我有上将潘凤｜消息1742] 我觉得业绩不会差到哪里
[14:04｜我有上将潘凤｜消息1743] 海外链
[14:04｜我有上将潘凤｜消息1744] 国产链我就打板了
[14:05｜我有上将潘凤｜消息1745] 有就继续早起看看
[14:05｜我有上将潘凤｜消息1746] 没有就算了
[14:05｜我有上将潘凤｜消息1747] 这地方
[14:05｜我有上将潘凤｜消息1748] 我当熊市做
[14:06｜我有上将潘凤｜消息1749] 早上冲的最凶的
[14:06｜我有上将潘凤｜消息1750] 华天科技
[14:06｜我有上将潘凤｜消息1751] 现在挂壁了。。
[14:06｜我有上将潘凤｜消息1752] 这地方不要期待太大
[14:08｜我有上将潘凤｜消息1753] 我上面不说了嘛
[14:08｜我有上将潘凤｜消息1754] 海外的问题
[14:09｜我有上将潘凤｜消息1755] 不过
[14:09｜我有上将潘凤｜消息1756] 海外如果你从隔日的角度
[14:09｜我有上将潘凤｜消息1757] 也没问题
[14:09｜我有上将潘凤｜消息1758] 反正博弈一下业绩
[14:09｜我有上将潘凤｜消息1759] 业绩好又高开
[14:09｜我有上将潘凤｜消息1760] 涨停
[14:09｜我有上将潘凤｜消息1761] 大部分人就按了吧
[14:09｜我有上将潘凤｜消息1762] 类似那天兆易创新
[14:09｜我有上将潘凤｜消息1763] 晚上出业绩
[14:37｜我有上将潘凤｜消息1764] 今天早上冲的
[14:37｜我有上将潘凤｜消息1765] 早上冲的基本上下午都在回落
[14:37｜我有上将潘凤｜消息1766] 估计胃要气炸了
[15:05｜我有上将潘凤｜消息1767] 国产的 明天来接行云吧
[15:05｜我有上将潘凤｜消息1768] 老师们传出去
[15:05｜我有上将潘凤｜消息1769] 别的太不安全了
[15:05｜我有上将潘凤｜消息1770] [旺柴][旺柴]
[18:05｜我有上将潘凤｜消息1771] 18:03:09【德明利:预计上半年净利润57亿元65亿元同比扭亏为盈 AI应用驱动存储需求增长】财联社7月14日电,德明利(
001309.SZ
(
001309.SZ
))公告称,预计2026年半年度归属于上市公司股东的净利润为57亿元65亿元,同比扭亏为盈。业绩变动主要系AI应用驱动存储需求增长,行业景气度较高,产品价格上行,公司供应链稳定,盈利能力改善。小财注:公司Q2净利润预计23.54亿31.54亿,Q1净利润33.46亿,据此计算,Q2净利润预计环比下降5%29%。(来自财联社APP)
[18:05｜我有上将潘凤｜消息1772] 雷了
[18:07｜我有上将潘凤｜消息1773] 明天带崩韩国?
[18:10｜我有上将潘凤｜消息1774] 国内存储雷也正常
[18:11｜我有上将潘凤｜消息1775] 通富微电是因为非经常损益吧
[18:15｜我有上将潘凤｜消息1776] 话说通富微电干嘛了能多出来10亿非经常性利润
[18:16｜我有上将潘凤｜消息1777] 哦
[18:16｜我有上将潘凤｜消息1778] 还是卖半导体公司赚的
[18:19｜我有上将潘凤｜消息1779] dml这个是太差了 存储最好的时候
[18:19｜我有上将潘凤｜消息1780] 交个这个卷子
[18:22｜我有上将潘凤｜消息1781] 持仓的人:“传:德明利业绩太好,交易所让藏业绩”
[18:27｜我有上将潘凤｜消息1782] 11
[18:27｜我有上将潘凤｜消息1783] @所有人?盘中说了
[18:27｜我有上将潘凤｜消息1784] 业绩不会差到哪里
[18:27｜我有上将潘凤｜消息1785] 也不会惊艳到哪里
