[09:27｜我有上将潘凤｜消息1797] 今天难得早起
[09:27｜我有上将潘凤｜消息1798] 收点钱
[09:30｜我有上将潘凤｜消息1799] 那就先卖一大半了
[09:30｜我有上将潘凤｜消息1800] 卖完了
[09:30｜我有上将潘凤｜消息1801] 我
[09:31｜我有上将潘凤｜消息1802] 打完收工
[09:37｜我有上将潘凤｜消息1803] 到点下车就行了
[09:37｜我有上将潘凤｜消息1804] @所有人
[09:37｜我有上将潘凤｜消息1805] 不要想多
[09:39｜我有上将潘凤｜消息1806] 国产区后面说不定还有大瓜
[09:59｜我有上将潘凤｜消息1807] 量化:删除了大家强烈反馈的韩国因子,怎么又不开心了
[10:03｜我有上将潘凤｜消息1808] 不过养猪也是高科技
[10:03｜我有上将潘凤｜消息1809] 你们不知道吗
[10:03｜我有上将潘凤｜消息1810] 养猪要求可高了
[10:04｜我有上将潘凤｜消息1811] 昨晚嘲笑五粮液的
[10:06｜我有上将潘凤｜消息1812] @所有人
[10:06｜我有上将潘凤｜消息1813] 这边我们不着急了
[10:06｜我有上将潘凤｜消息1814] 其他人还在科技里面骂和回本
[10:06｜我有上将潘凤｜消息1815] 相信群里老师都已经新高了
[10:07｜我有上将潘凤｜消息1816] 所以不用急头白脸去抢了
[10:32｜我有上将潘凤｜消息1817] 晚安了 老师们
[10:39｜我有上将潘凤｜消息1818] dml
[10:39｜我有上将潘凤｜消息1819] 昨晚看很多老师嘴硬了一晚
[10:54｜我有上将潘凤｜消息1820] 舒服惨了
[14:25｜我有上将潘凤｜消息1821] @所有人?睡了一天有没有踏空 让我痛苦一下
[14:25｜我有上将潘凤｜消息1822] 踏空当猴了吗
[14:26｜我有上将潘凤｜消息1823] @所有人?
[14:53｜我有上将潘凤｜消息1824] 又是安逸的一天
[14:53｜我有上将潘凤｜消息1825] @所有人?
[14:53｜我有上将潘凤｜消息1826] 图书馆费用搬运工
