[09:30｜我有上将潘凤｜消息1904] 瑞芯微我开盘就卖了
[09:35｜我有上将潘凤｜消息1905] 利好不明感
[09:35｜我有上将潘凤｜消息1906] 利空会很铭感
[09:35｜我有上将潘凤｜消息1907] 就这样
[09:35｜我有上将潘凤｜消息1908] 现在这个阶段
[09:43｜我有上将潘凤｜消息1909] 歌尔股份红盘我卖了
[09:44｜我有上将潘凤｜消息1910] @所有人
[09:44｜我有上将潘凤｜消息1911] 端侧在这种环境下
[09:44｜我有上将潘凤｜消息1912] 今天很体面了
[09:48｜我有上将潘凤｜消息1913] 这边越惨
[09:48｜我有上将潘凤｜消息1914] @所有人
[09:48｜我有上将潘凤｜消息1915] 后面机会越大
[10:00｜我有上将潘凤｜消息1916] 华天科技这种能跌三十个点
[10:01｜我有上将潘凤｜消息1917] 妈的
[10:01｜我有上将潘凤｜消息1918] @所有人
[10:01｜我有上将潘凤｜消息1919] 那波澜起科技清仓之后
[10:01｜我有上将潘凤｜消息1920] 给你们多了个大股灾
[10:01｜我有上将潘凤｜消息1921] 躲了一个
[10:03｜我有上将潘凤｜消息1922] @所有人
[10:03｜我有上将潘凤｜消息1923] 回头看一下
[10:04｜我有上将潘凤｜消息1924] @所有人?再回头看看
[10:04｜我有上将潘凤｜消息1925] 我有没有踏空全人类的共同富裕?
[10:06｜我有上将潘凤｜消息1926] 对自己人
[10:06｜我有上将潘凤｜消息1927] 韩国人
[10:06｜我有上将潘凤｜消息1928] 很狠的
[10:06｜我有上将潘凤｜消息1929] 你会发现
[10:06｜我有上将潘凤｜消息1930] 你翻开他们的历史
[10:06｜我有上将潘凤｜消息1931] 比我们要强多了
[10:06｜我有上将潘凤｜消息1932] 他们的内斗
[10:06｜我有上将潘凤｜消息1933] 对外没打赢过
[10:06｜我有上将潘凤｜消息1934] 对内没输过
[10:19｜我有上将潘凤｜消息1935] 航天工程五板了
[10:19｜我有上将潘凤｜消息1936] 真牛逼
[10:19｜我有上将潘凤｜消息1937] 我靠
[10:20｜我有上将潘凤｜消息1938] 真的牛逼
[10:20｜我有上将潘凤｜消息1939] 我估计
[10:20｜我有上将潘凤｜消息1940] 打板航天工程的
[10:20｜我有上将潘凤｜消息1941] 想赚五个点
[10:21｜我有上将潘凤｜消息1942] 结果赚了五个板
[10:21｜我有上将潘凤｜消息1943] [破涕为笑]
[10:35｜我有上将潘凤｜消息1944] 本来就不行了
[10:35｜我有上将潘凤｜消息1945] 金融又来了
[10:36｜我有上将潘凤｜消息1946] 本来腹泻了
