[09:31｜我有上将潘凤｜消息2102] 今天这么一搞 又不好买股票了
[09:49｜我有上将潘凤｜消息2103] 其实我觉得这么生硬的拉起来
[09:49｜我有上将潘凤｜消息2104] @所有人
[09:49｜我有上将潘凤｜消息2105] 其实没啥意思
[09:49｜我有上将潘凤｜消息2106] 这个地方
[09:49｜我有上将潘凤｜消息2107] 周五有人抄底的
[09:50｜我有上将潘凤｜消息2108] 今天肯定会卖
[09:50｜我有上将潘凤｜消息2109] 但是周五抄底的
[09:50｜我有上将潘凤｜消息2110] 一定周四也抄底了
[09:50｜我有上将潘凤｜消息2111] 周三也抄底了
[09:50｜我有上将潘凤｜消息2112] 所以亏了+15%加了
[09:50｜我有上将潘凤｜消息2113] 这边回6%
[09:50｜我有上将潘凤｜消息2114] 有意义嘛
[09:50｜我有上将潘凤｜消息2115] @所有人
[09:51｜我有上将潘凤｜消息2116] 持股的就更别说了
[09:51｜我有上将潘凤｜消息2117] 全是抛压
[09:52｜我有上将潘凤｜消息2118] 还不如把这批人杀完
[09:52｜我有上将潘凤｜消息2119] 然后重新来
[09:52｜我有上将潘凤｜消息2120] 你说联讯仪器周五割了十几个亿的大佬
[09:52｜我有上将潘凤｜消息2121] 会因为你今天指数反弹一个多点就再来?
[09:52｜我有上将潘凤｜消息2122] 你把别人真当年猪了
[09:54｜我有上将潘凤｜消息2123] 下行趋势
[09:54｜我有上将潘凤｜消息2124] @所有人
[09:55｜我有上将潘凤｜消息2125] 做十次交易
[09:55｜我有上将潘凤｜消息2126] 对两次
[09:55｜我有上将潘凤｜消息2127] 极其不划算
[09:57｜我有上将潘凤｜消息2128] 这种救市
[09:58｜我有上将潘凤｜消息2129] 其实没任何意义
[09:58｜我有上将潘凤｜消息2130] 除了为了发长鑫科技
[09:58｜我有上将潘凤｜消息2131] 然后就是拉长调整时间
[10:04｜我有上将潘凤｜消息2132] 市场最大科技
[10:04｜我有上将潘凤｜消息2133] 茅台回来了
[10:07｜我有上将潘凤｜消息2134] @梁先生?群里不要发交易图
[10:08｜我有上将潘凤｜消息2135] 这次算了
[10:08｜我有上将潘凤｜消息2136] 老师也亏了不少
[10:08｜我有上将潘凤｜消息2137] 但没有下次了
[10:08｜我有上将潘凤｜消息2138] 老师自觉
[10:12｜我有上将潘凤｜消息2139] 今天这盘面
[10:12｜我有上将潘凤｜消息2140] 全是先手卖给后手的
[10:12｜我有上将潘凤｜消息2141] 我真的挺烦GJD每次这个时候喊话的
[10:12｜我有上将潘凤｜消息2142] 再杀两天
[10:12｜我有上将潘凤｜消息2143] 其实市场如果不喊话
[10:12｜我有上将潘凤｜消息2144] 就自然见底了
[10:12｜我有上将潘凤｜消息2145] 这么一搞 外面想进城救的 今天这么一搞也不好出手了
[10:14｜我有上将潘凤｜消息2146] 是啊
[10:14｜我有上将潘凤｜消息2147] 你看他们的政策连续性
[10:14｜我有上将潘凤｜消息2148] 先不让卖
[10:14｜我有上将潘凤｜消息2149] 那你说你有十几个亿的大佬
[10:14｜我有上将潘凤｜消息2150] 你怕不怕
[10:14｜我有上将潘凤｜消息2151] 你买进来
[10:15｜我有上将潘凤｜消息2152] 然后不让你出去了
[10:15｜我有上将潘凤｜消息2153] 市场万一有任何不对的地方
[10:15｜我有上将潘凤｜消息2154] 跑都跑不了
[10:15｜我有上将潘凤｜消息2155] 等你能跑了 让你亏四五个亿再跑
[10:15｜我有上将潘凤｜消息2156] 这谁能受得了
[10:15｜我有上将潘凤｜消息2157] 而且
[10:16｜我有上将潘凤｜消息2158] 让市场自然寻底画图就行了
[10:16｜我有上将潘凤｜消息2159] 今天这么突然一下
[10:16｜我有上将潘凤｜消息2160] 极其丑陋的图形
[10:25｜我有上将潘凤｜消息2161] kimi确实能用
[10:25｜我有上将潘凤｜消息2162] 但是绝对不是那种deepseek级别的
[10:25｜我有上将潘凤｜消息2163] 更别说调整fable
[10:26｜我有上将潘凤｜消息2164] 挑战
[10:27｜我有上将潘凤｜消息2165] 影响最大的是
[10:27｜我有上将潘凤｜消息2166] 今天盘面
[10:27｜我有上将潘凤｜消息2167] 其实
[10:27｜我有上将潘凤｜消息2168] 东山精密的双跌停
[10:28｜我有上将潘凤｜消息2169] 这种双跌停
[10:28｜我有上将潘凤｜消息2170] 已经比科技最悲观的人的预期走的还差了
[10:28｜我有上将潘凤｜消息2171] 我要是国家队 我宁可买高股息 为啥要去高位接盘科技
[10:34｜我有上将潘凤｜消息2172] 4200减了两万亿吧
[10:48｜我有上将潘凤｜消息2173] 源捷科技 20
[10:48｜我有上将潘凤｜消息2174] 光芯片还缺嘛?
[10:50｜我有上将潘凤｜消息2175] 新易盛昨天业绩公布之前
[10:50｜我有上将潘凤｜消息2176] 说预期55亿
[10:50｜我有上将潘凤｜消息2177] 有人找我聊
[10:50｜我有上将潘凤｜消息2178] 业绩好
[10:50｜我有上将潘凤｜消息2179] 明天可以低吸
[10:50｜我有上将潘凤｜消息2180] 然后说完
[10:51｜我有上将潘凤｜消息2181] 就公布业绩了
[10:51｜我有上将潘凤｜消息2182] 然后说 机构的预期是35亿
[10:51｜我有上将潘凤｜消息2183] [天啊]
[10:51｜我有上将潘凤｜消息2184] 大超预期
[10:51｜我有上将潘凤｜消息2185] 这些认现在都是瞎几把乱说的
[10:51｜我有上将潘凤｜消息2186] 反正怎么利好自己怎么说
[10:54｜我有上将潘凤｜消息2187] 妈的
[10:54｜我有上将潘凤｜消息2188] 还骗我早起了
[10:54｜我有上将潘凤｜消息2189] 我说今天好好看盘呢
[10:54｜我有上将潘凤｜消息2190] 就给我看这个?
[10:55｜我有上将潘凤｜消息2191] 然后里面没啥人了
[10:55｜我有上将潘凤｜消息2192] 这个没什么分歧
[10:55｜我有上将潘凤｜消息2193] 中船特气确实是不及预期
[10:55｜我有上将潘凤｜消息2194] 估计也是因为中船特气被监管了
[10:55｜我有上将潘凤｜消息2195] 所以大家都一致认为不及预期了
[10:56｜我有上将潘凤｜消息2196] 其实国家队的思路也是对的
[10:57｜我有上将潘凤｜消息2197] 科技真的太大了
[10:57｜我有上将潘凤｜消息2198] 救不起来
[10:57｜我有上将潘凤｜消息2199] 所以去了红利
[10:57｜我有上将潘凤｜消息2200] 你就算救了大光那几个业绩好的
[10:57｜我有上将潘凤｜消息2201] 但是很多股票的业绩已经证明回不去了
[10:57｜我有上将潘凤｜消息2202] 之前科技的战线铺的太长了
[10:57｜我有上将潘凤｜消息2203] 现在救不回来了
[11:09｜我有上将潘凤｜消息2204] 前面瞎给预期 简单说就是瞎吵呗
[13:13｜我有上将潘凤｜消息2205] 我周五就说了这事了。。
[13:13｜我有上将潘凤｜消息2206] 老师是选择性忽视嘛
[13:13｜我有上将潘凤｜消息2207] 而且我觉得群里老师们分析的挺好的
[13:14｜我有上将潘凤｜消息2208] 就是不让卖就不会有人买了
[13:14｜我有上将潘凤｜消息2209] 买了怕不给卖了
[13:16｜我有上将潘凤｜消息2210] 科技的抛压好夸张
[13:16｜我有上将潘凤｜消息2211] @所有人
[13:18｜我有上将潘凤｜消息2212] 现在只要一开板
[13:18｜我有上将潘凤｜消息2213] 倾斜而出
