[09:55｜我有上将潘凤｜消息2261] 科技真是滚刀肉啊
[09:58｜我有上将潘凤｜消息2262] 长飞光纤
[09:58｜我有上将潘凤｜消息2263] 这个位置
[09:58｜我有上将潘凤｜消息2264] 还能跌天
[09:58｜我有上将潘凤｜消息2265] 牛逼啊
[09:58｜我有上将潘凤｜消息2266] 跌停
[09:58｜我有上将潘凤｜消息2267] 第一次见
[09:59｜我有上将潘凤｜消息2268] 这种跌法
[09:59｜我有上将潘凤｜消息2269] 真是对照着互联网泡沫去了
[10:00｜我有上将潘凤｜消息2270] 你们看市场又没跌够
[10:00｜我有上将潘凤｜消息2271] 华虹公司这些相对指数还没补跌
[10:00｜我有上将潘凤｜消息2272] 关键
[10:10｜我有上将潘凤｜消息2273] @所有人?只要你敢出手
[10:10｜我有上将潘凤｜消息2274] 就一定是被套
[10:14｜我有上将潘凤｜消息2275] 享福了
[10:21｜我有上将潘凤｜消息2276] @所有人
[10:21｜我有上将潘凤｜消息2277] 老师们
[10:22｜我有上将潘凤｜消息2278] 现在的策略
[10:22｜我有上将潘凤｜消息2279] 每多一天
[10:22｜我有上将潘凤｜消息2280] 你们更没必要去和那些在火场的人
[10:22｜我有上将潘凤｜消息2281] 多争那个转折点了
[10:23｜我有上将潘凤｜消息2282] 每多一天
[10:24｜我有上将潘凤｜消息2283] 他们就多亏五到十个点
[10:24｜我有上将潘凤｜消息2284] 你们就领先他们无到十个点
[10:25｜我有上将潘凤｜消息2285] @所有人
[10:25｜我有上将潘凤｜消息2286] happy一下
[10:46｜我有上将潘凤｜消息2287] 熊市
[10:47｜我有上将潘凤｜消息2288] 是老师们赚钱的主要手段
[10:47｜我有上将潘凤｜消息2289] [旺柴]
[10:51｜我有上将潘凤｜消息2290] GJD又来输入流动性了
[10:52｜我有上将潘凤｜消息2291] GJD这么每天买两下
[10:52｜我有上将潘凤｜消息2292] 只托不拉
[10:52｜我有上将潘凤｜消息2293] 就是为了缓解流动性
[10:53｜我有上将潘凤｜消息2294] 不然会快速下跌
[10:54｜我有上将潘凤｜消息2295] 快速杀跌
[10:54｜我有上将潘凤｜消息2296] 容易连环爆杠杆
[11:05｜我有上将潘凤｜消息2297] 富豪亏钱
[11:05｜我有上将潘凤｜消息2298] 才完成了
[11:06｜我有上将潘凤｜消息2299] @所有人
[11:06｜我有上将潘凤｜消息2300] 从富豪身上转移到各位老师身上的财富
[11:21｜我有上将潘凤｜消息2301] 我说了
[11:22｜我有上将潘凤｜消息2302] 这地方完全没必要和他们争那一个点
[11:22｜我有上将潘凤｜消息2303] 很多人上周开始非要争那个冰点
[11:22｜我有上将潘凤｜消息2304] 结果多亏20个点
[11:22｜我有上将潘凤｜消息2305] @所有人?
[11:24｜我有上将潘凤｜消息2306] 就是你们自己可以对着镜子看看
[11:44｜我有上将潘凤｜消息2307] 他每天都在冲
[11:44｜我有上将潘凤｜消息2308] 老师们不要发其他老师的东西了
[11:44｜我有上将潘凤｜消息2309] @所有人
[11:44｜我有上将潘凤｜消息2310] 他们没你们做得好
[11:45｜我有上将潘凤｜消息2311] 比你菜的的人的呢
[11:45｜我有上将潘凤｜消息2312] 为什么要看
[11:45｜我有上将潘凤｜消息2313] 不是说他
[11:46｜我有上将潘凤｜消息2314] 那个陈果也是
[11:46｜我有上将潘凤｜消息2315] 之前天天黑ai
[11:55｜我有上将潘凤｜消息2316] 这个太夸张了
[11:55｜我有上将潘凤｜消息2317] 我知道昨天很多人尾盘梭哈了
[11:55｜我有上将潘凤｜消息2318] 但是今天早上割了
[11:55｜我有上将潘凤｜消息2319] 然后被拉起来了
[11:55｜我有上将潘凤｜消息2320] 这些最低的时候
[11:55｜我有上将潘凤｜消息2321] 今天我看了下半导体包括东山精密
[11:55｜我有上将潘凤｜消息2322] 确实是要止损走人
[11:56｜我有上将潘凤｜消息2323] 东山精密最低的时候跌停了
[11:59｜我有上将潘凤｜消息2324] 又是情绪高点了
[12:06｜我有上将潘凤｜消息2325] 这地方最大的干扰
[12:06｜我有上将潘凤｜消息2326] 就是gjd
[12:06｜我有上将潘凤｜消息2327] 看不清市场真实强度
[12:14｜我有上将潘凤｜消息2328] 今天回落比较难
[12:14｜我有上将潘凤｜消息2329] 毕竟是超跌反弹
[12:14｜我有上将潘凤｜消息2330] 但是明天又不好说了
[12:29｜我有上将潘凤｜消息2331] 回撤30个点 要赚42%才回本
[12:29｜我有上将潘凤｜消息2332] [破涕为笑]
