[09:32｜我有上将潘凤｜消息2397] 华虹公司一会儿开盘冲高我准备先卖一半
[09:32｜我有上将潘凤｜消息2398] 我减了一半
[09:35｜我有上将潘凤｜消息2399] 剩下的翻红我全卖了
[09:41｜我有上将潘凤｜消息2400] 整个反弹还是不行 今天低于预期 如果盘中拉升也是卖点
[09:41｜我有上将潘凤｜消息2401] 不拉也是低于预期的卖点
[11:08｜我有上将潘凤｜消息2402] 没赚到钱啊
[11:09｜我有上将潘凤｜消息2403] 早上其他都在拉
[11:09｜我有上将潘凤｜消息2404] 华虹水下3
[11:09｜我有上将潘凤｜消息2405] 我还庆幸1卖了
[11:10｜我有上将潘凤｜消息2406] 不玩了
[11:11｜我有上将潘凤｜消息2407] 自己玩吧
[11:11｜我有上将潘凤｜消息2408] 本来是想给他长鑫科技上市助助力
[11:11｜我有上将潘凤｜消息2409] 不给面子
[11:17｜我有上将潘凤｜消息2410] 亏钱了
[11:17｜我有上将潘凤｜消息2411] 着急
[11:18｜我有上将潘凤｜消息2412] 完蛋了
[11:18｜我有上将潘凤｜消息2413] 亏麻了
[11:23｜我有上将潘凤｜消息2414] 老师们
[11:23｜我有上将潘凤｜消息2415] 我这还有希望嘛
[11:25｜我有上将潘凤｜消息2416] 麻了
[11:26｜我有上将潘凤｜消息2417] 不玩了
[11:26｜我有上将潘凤｜消息2418] 销户
[11:27｜我有上将潘凤｜消息2419] 客观说
[11:27｜我有上将潘凤｜消息2420] 这个位置
[11:27｜我有上将潘凤｜消息2421] 指数定住
[11:27｜我有上将潘凤｜消息2422] 对做短线的人来说
[11:27｜我有上将潘凤｜消息2423] 其实更容易亏钱
[11:27｜我有上将潘凤｜消息2424] 上面是持股的人亏钱
[11:27｜我有上将潘凤｜消息2425] 这边节奏不对
[11:29｜我有上将潘凤｜消息2426] 而且还不容易知道
[11:29｜我有上将潘凤｜消息2427] 这个地方长鑫科技上市之前到底是什么情况
[11:30｜我有上将潘凤｜消息2428] 而且
[11:30｜我有上将潘凤｜消息2429] 话说回来
[11:30｜我有上将潘凤｜消息2430] ai里面
[11:30｜我有上将潘凤｜消息2431] 没有比他更正宗的
[11:30｜我有上将潘凤｜消息2432] 你如果看好ai的资金
[11:30｜我有上将潘凤｜消息2433] 怎么可能不配他
[11:33｜我有上将潘凤｜消息2434] 我的意思是持股的人会被安慰到平仓
[11:34｜我有上将潘凤｜消息2435] 昨天吃到大回血的
[11:34｜我有上将潘凤｜消息2436] 都是从上面就没割肉的
[11:35｜我有上将潘凤｜消息2437] 之后更加仓
[11:35｜我有上将潘凤｜消息2438] 因为昨天回血的甜头会一直记得
[11:38｜我有上将潘凤｜消息2439] 你看下光伏
[11:38｜我有上将潘凤｜消息2440] 就知道21年很多人到今天都没走
[11:39｜我有上将潘凤｜消息2441] 我说的是没杠杆的
[11:39｜我有上将潘凤｜消息2442] 有杠杆的早爆了
[11:47｜我有上将潘凤｜消息2443] 然后今天一点亏都不想吃
[11:47｜我有上将潘凤｜消息2444] GJD昨天搞的华虹
[11:48｜我有上将潘凤｜消息2445] 早上溢价都不给
[11:48｜我有上将潘凤｜消息2446] 那这个地方
[11:48｜我有上将潘凤｜消息2447] 很明显的意图
[11:48｜我有上将潘凤｜消息2448] 就是托一下
[11:48｜我有上将潘凤｜消息2449] 根本不是来给你们回血的
[11:48｜我有上将潘凤｜消息2450] 等到长鑫科技上市
[11:48｜我有上将潘凤｜消息2451] 就任务完成了
[11:48｜我有上将潘凤｜消息2452] 等着今年发年终奖了
[11:49｜我有上将潘凤｜消息2453] 哦 还有个长存
[11:50｜我有上将潘凤｜消息2454] ds会上市?
[11:50｜我有上将潘凤｜消息2455] 不会吧
[11:50｜我有上将潘凤｜消息2456] 我觉得ds类似华为
[11:50｜我有上将潘凤｜消息2457] 不太会上市
[11:53｜我有上将潘凤｜消息2458] 散户跑完了
[11:53｜我有上将潘凤｜消息2459] 再不提速
[12:07｜我有上将潘凤｜消息2460] 源杰科技昨天业绩那么好
[12:07｜我有上将潘凤｜消息2461] 今天也这样
[12:07｜我有上将潘凤｜消息2462] 类似昨晚吃了伟哥 今天一点反应也没
[12:08｜我有上将潘凤｜消息2463] 不是跌少了
[12:08｜我有上将潘凤｜消息2464] 这行情
[12:08｜我有上将潘凤｜消息2465] 是昨天反弹太极端了
[12:09｜我有上将潘凤｜消息2466] 其实这边GJD搞反弹
[12:09｜我有上将潘凤｜消息2467] 就是为了确保自己的任务完成
[12:09｜我有上将潘凤｜消息2468] 其实大家也都知道GJD想干嘛
[12:10｜我有上将潘凤｜消息2469] 所以很多短线热钱
[12:10｜我有上将潘凤｜消息2470] 包括我们
[12:10｜我有上将潘凤｜消息2471] [破涕为笑]
[12:10｜我有上将潘凤｜消息2472] 结果进来帮忙
[12:10｜我有上将潘凤｜消息2473] 也不发钱
[12:10｜我有上将潘凤｜消息2474] 所以后面不帮了
[12:12｜我有上将潘凤｜消息2475] 对
[12:12｜我有上将潘凤｜消息2476] 骗我可以
[12:12｜我有上将潘凤｜消息2477] 只有一次
[12:12｜我有上将潘凤｜消息2478] 华宏的开盘
[12:12｜我有上将潘凤｜消息2479] 也不行
[12:13｜我有上将潘凤｜消息2480] 昨天把情绪稳住的核心
[12:14｜我有上将潘凤｜消息2481] 今天直接低开
[12:14｜我有上将潘凤｜消息2482] 而且本身离新高就一步之遥 这么扭扭捏捏
[12:18｜我有上将潘凤｜消息2483] 托伦斯是昨晚老师们吹的
[12:18｜我有上将潘凤｜消息2484] 诚通概念股
