[09:00｜我有上将潘凤｜消息2545] 因为苹果的端策卖硬件是后发优势
[09:00｜我有上将潘凤｜消息2546] 不用自己做大模型
[09:00｜我有上将潘凤｜消息2547] 可以等谁胜出了直接用
[09:01｜我有上将潘凤｜消息2548] 直接在应用层面等赢家
[09:01｜我有上将潘凤｜消息2549] 但字节自己研究大模型了
[09:01｜我有上将潘凤｜消息2550] 而且还是用的国产
[09:01｜我有上将潘凤｜消息2551] 应该浪费也不少
[09:01｜我有上将潘凤｜消息2552] [破涕为笑][破涕为笑]
[09:34｜我有上将潘凤｜消息2553] 这种高开没意思啊
[09:34｜我有上将潘凤｜消息2554] 看都不想看
[09:52｜我有上将潘凤｜消息2555] 这盘面最好处理了
[09:52｜我有上将潘凤｜消息2556] 高开就不买
[09:52｜我有上将潘凤｜消息2557] 他不跌还省的被勾引进去
[10:04｜我有上将潘凤｜消息2558] 早上不是还是跟着韩国走的嘛
[10:04｜我有上将潘凤｜消息2559] 你以为他自己走强了
[10:04｜我有上将潘凤｜消息2560] 一看海力士走了六个点
[10:19｜我有上将潘凤｜消息2561] 这合理
[10:19｜我有上将潘凤｜消息2562] 还有什么科技比长鑫科技更正呢
[10:25｜我有上将潘凤｜消息2563] 昨天还有老师
[10:25｜我有上将潘凤｜消息2564] 说
[10:25｜我有上将潘凤｜消息2565] @所有人
[10:25｜我有上将潘凤｜消息2566] 今天这个就全还回去了
[10:25｜我有上将潘凤｜消息2567] 这票
[10:25｜我有上将潘凤｜消息2568] 昨天早上那种走势
[10:25｜我有上将潘凤｜消息2569] 就看出来他们不想干好事
[10:25｜我有上将潘凤｜消息2570] 所以等于又逃顶了
[10:26｜我有上将潘凤｜消息2571] @所有人?
[10:26｜我有上将潘凤｜消息2572] 你看
[10:26｜我有上将潘凤｜消息2573] 老师们总是自信
[10:27｜我有上将潘凤｜消息2574] 实际上就是人均20个点吧
[10:29｜我有上将潘凤｜消息2575] @所有人?我和你们说
[10:29｜我有上将潘凤｜消息2576] 大部分人最大做不好交易的问题
[10:29｜我有上将潘凤｜消息2577] 就在于特别主观
[10:29｜我有上将潘凤｜消息2578] 对自己的认知主观
[10:29｜我有上将潘凤｜消息2579] 对市场的判断主观
[10:30｜我有上将潘凤｜消息2580] 就像现在ai这种
[10:30｜我有上将潘凤｜消息2581] 你绝对被骂的狗血零头的走
[10:30｜我有上将潘凤｜消息2582] 这市场容不得不一样的声音
[10:30｜我有上将潘凤｜消息2583] 对自己的判断也是:我赚钱了=等于市场没问题
[10:31｜我有上将潘凤｜消息2584] 昨天我华宏卖的不好=vigoss菜逼
[10:31｜我有上将潘凤｜消息2585] 比我多卖两个点=华宏走的不错
[10:31｜我有上将潘凤｜消息2586] 这种就是线性思维
[10:33｜我有上将潘凤｜消息2587] 德明利那天晚上厨业
[10:33｜我有上将潘凤｜消息2588] 出业绩
[10:33｜我有上将潘凤｜消息2589] 明摆的糟糕透顶的业绩
[10:33｜我有上将潘凤｜消息2590] 很多人非要说
[10:33｜我有上将潘凤｜消息2591] dml藏业绩了
[10:33｜我有上将潘凤｜消息2592] 这种就是极其主观判断
[10:34｜我有上将潘凤｜消息2593] 所以
[10:34｜我有上将潘凤｜消息2594] 不客观
[10:34｜我有上将潘凤｜消息2595] 要不然就是菜要不然就是坏
[10:34｜我有上将潘凤｜消息2596] 而且国内的那些存储公司本身就是2道贩子
[10:35｜我有上将潘凤｜消息2597] 而且如果你仔细去看一下长鑫科技的招股书
