[10:06｜我有上将潘凤｜消息2727] 不让跌
[10:06｜我有上将潘凤｜消息2728] 没啥意思
[10:11｜我有上将潘凤｜消息2729] 真的是
[10:11｜我有上将潘凤｜消息2730] 10个亿?
[10:11｜我有上将潘凤｜消息2731] 砸了
[10:11｜我有上将潘凤｜消息2732] ?
[10:11｜我有上将潘凤｜消息2733] 不仅有GJD
[10:11｜我有上将潘凤｜消息2734] 还有别人在这边埋伏
[10:12｜我有上将潘凤｜消息2735] 太恐怖了
[10:19｜我有上将潘凤｜消息2736] 事到如今
[10:20｜我有上将潘凤｜消息2737] 先定房吧
[10:20｜我有上将潘凤｜消息2738] 提前庆祝一下长鑫上市
[10:25｜我有上将潘凤｜消息2739] 是在科创板
[10:25｜我有上将潘凤｜消息2740] 现在卖出监管最严格的
[10:26｜我有上将潘凤｜消息2741] ??
[10:26｜我有上将潘凤｜消息2742] 老师们发言
[10:26｜我有上将潘凤｜消息2743] 慎重点
[10:27｜我有上将潘凤｜消息2744] 这盘面
[10:27｜我有上将潘凤｜消息2745] 一看就是为了完成任务
[10:27｜我有上将潘凤｜消息2746] 完成主人的任务
[10:27｜我有上将潘凤｜消息2747] 你可以选择当狗或者不当狗
[10:29｜我有上将潘凤｜消息2748] 这行情
[10:29｜我有上将潘凤｜消息2749] 每次调整的时候
[10:29｜我有上将潘凤｜消息2750] 之所以很多人会亏钱
[10:29｜我有上将潘凤｜消息2751] 就是因为调整的太纠结了
[10:29｜我有上将潘凤｜消息2752] 关键的点位
[10:29｜我有上将潘凤｜消息2753] 老是无形的手在干预
[10:29｜我有上将潘凤｜消息2754] 这就导致
[10:29｜我有上将潘凤｜消息2755] 盘面看起来很多机会
[10:30｜我有上将潘凤｜消息2756] 或者一赚一亏最后一算账还不如不做
[10:30｜我有上将潘凤｜消息2757] 我刚说了
[10:31｜我有上将潘凤｜消息2758] 111
[10:31｜我有上将潘凤｜消息2759] 方神发的
[10:31｜我有上将潘凤｜消息2760] 肯定是验证过得
[10:48｜我有上将潘凤｜消息2761] @所有人?和老师们在提醒一下 这波调整时间比较长 自己愿意进去送钱的 自己可以自己去参与 但是不要在群里吹自己的票
[10:48｜我有上将潘凤｜消息2762] 每次退潮期 群里的老师自己看的小杂毛 自己去套利就行了
[10:49｜我有上将潘凤｜消息2763] 如果再看到 为了维持退潮期纪律 又要请出群冷静冷静了
[10:50｜我有上将潘凤｜消息2764] 当然你赚钱了愿意群里发红包也随时欢迎
[10:51｜我有上将潘凤｜消息2765] 聊正规逻辑欢迎
[10:55｜我有上将潘凤｜消息2766] 投机没有正式确认
[10:56｜我有上将潘凤｜消息2767] 最主要原因
[10:56｜我有上将潘凤｜消息2768] 监管
[10:56｜我有上将潘凤｜消息2769] 老师们都忘了嘛
[10:56｜我有上将潘凤｜消息2770] 对啊
[10:56｜我有上将潘凤｜消息2771] 周五不要触霉头
[10:56｜我有上将潘凤｜消息2772] 而且最近还是在长鑫科技上市的端口
[10:57｜我有上将潘凤｜消息2773] 人家真有可能和你急眼的
[10:59｜我有上将潘凤｜消息2774] 投机要做的话
[10:59｜我有上将潘凤｜消息2775] 等到下周
[11:16｜我有上将潘凤｜消息2776] 首先看限制卖出到什么时候
[11:16｜我有上将潘凤｜消息2777] 这个其实蛮讨厌的
[11:16｜我有上将潘凤｜消息2778] 你比如短线打板的 体量稍微大点的 你不给人家隔日
[11:16｜我有上将潘凤｜消息2779] 人家怎么办
[11:16｜我有上将潘凤｜消息2780] 人家也不会买了
[11:21｜我有上将潘凤｜消息2781] 不会吸血很多
[11:21｜我有上将潘凤｜消息2782] 其实长鑫科技
[11:21｜我有上将潘凤｜消息2783] 关键是某队自己紧张
[13:06｜我有上将潘凤｜消息2784] 他现在感觉要入D了
[13:06｜我有上将潘凤｜消息2785] 没有任何意义
[13:07｜我有上将潘凤｜消息2786] 只会让啥也不懂的散户
[13:07｜我有上将潘凤｜消息2787] 只能让不懂的人套的更深
[13:31｜我有上将潘凤｜消息2788] 半导体这块
[13:31｜我有上将潘凤｜消息2789] 做轮动
[13:31｜我有上将潘凤｜消息2790] 都是GJD资金在里面
[13:31｜我有上将潘凤｜消息2791] 但是不知道
[13:31｜我有上将潘凤｜消息2792] 长鑫科技上市之后
[13:31｜我有上将潘凤｜消息2793] 他们会不会撤
[13:39｜我有上将潘凤｜消息2794] 通富微电这个比我们那天买华虹的节点要更差
[13:42｜我有上将潘凤｜消息2795] 也是最应该进攻的节点
[13:42｜我有上将潘凤｜消息2796] 但是第二天的反馈确不怎么样
[13:42｜我有上将潘凤｜消息2797] 所以这地方在想组织有效进攻
[13:42｜我有上将潘凤｜消息2798] 没有号召力了
[13:42｜我有上将潘凤｜消息2799] 对啊
[13:43｜我有上将潘凤｜消息2800] 那个筹码那么好你不做
[13:43｜我有上将潘凤｜消息2801] 非要搞这个
[13:43｜我有上将潘凤｜消息2802] 给人砸十个亿
[13:43｜我有上将潘凤｜消息2803] 舍近求远?
[13:43｜我有上将潘凤｜消息2804] 里面的人简直爽爆了
[13:44｜我有上将潘凤｜消息2805] 我估计里面的人卖了也不管吃函了
[13:44｜我有上将潘凤｜消息2806] 估计受个处分也愿意
[13:44｜我有上将潘凤｜消息2807] 这行情逃出生天十个亿
[13:44｜我有上将潘凤｜消息2808] 在哪里找这个好事
[13:46｜我有上将潘凤｜消息2809] 应该不是交易员
[13:46｜我有上将潘凤｜消息2810] 感觉是超级大佬
[14:30｜我有上将潘凤｜消息2811] 之前救市 一般要多久?
不用去预计时间
[14:30｜我有上将潘凤｜消息2812] 你只要知道这边你不亏
[14:30｜我有上将潘凤｜消息2813] 后面一定有你的机会
[14:31｜我有上将潘凤｜消息2814] 你这边为了蝇头小利 那后面别人吃肉你就先回本
[14:37｜我有上将潘凤｜消息2815] 我朋友也是这样
[14:37｜我有上将潘凤｜消息2816] 不过不敢劝了
[14:37｜我有上将潘凤｜消息2817] 毕竟人家去年四月份爆仓前也扛回来了
[14:38｜我有上将潘凤｜消息2818] 其实今天GJD又在努力
[14:38｜我有上将潘凤｜消息2819] 但是即使GJD
[14:38｜我有上将潘凤｜消息2820] 也不能不尊重市场规律
[14:39｜我有上将潘凤｜消息2821] 不说了吗
[14:39｜我有上将潘凤｜消息2822] 不能不尊重规律
[14:40｜我有上将潘凤｜消息2823] 这个月感觉是职业以来空仓最多的月份
[14:40｜我有上将潘凤｜消息2824] 比熊是还多
[14:40｜我有上将潘凤｜消息2825] 21年退潮 我在里面
[14:41｜我有上将潘凤｜消息2826] 别问了
[14:41｜我有上将潘凤｜消息2827] 但是话说
[14:41｜我有上将潘凤｜消息2828] 这次比新能源的那个退潮
[14:41｜我有上将潘凤｜消息2829] 要狠多了
[14:41｜我有上将潘凤｜消息2830] 但也先亏了
[14:42｜我有上将潘凤｜消息2831] 流动性和涨幅
[14:42｜我有上将潘凤｜消息2832] 比那时候新能源大多了
[14:42｜我有上将潘凤｜消息2833] 所以要还债的日子
[14:43｜我有上将潘凤｜消息2834] 就长
[14:43｜我有上将潘凤｜消息2835] 中国医药记得
[14:43｜我有上将潘凤｜消息2836] 还有当时九安
[14:43｜我有上将潘凤｜消息2837] 主升
[14:43｜我有上将潘凤｜消息2838] 九安做的最后一波
[14:43｜我有上将潘凤｜消息2839] 中间穿插了中交地产
[14:44｜我有上将潘凤｜消息2840] 哦对
[14:44｜我有上将潘凤｜消息2841] 中通客车
[14:44｜我有上将潘凤｜消息2842] 除了最后按计算器那次
[14:44｜我有上将潘凤｜消息2843] 前面都赚到了
[14:44｜我有上将潘凤｜消息2844] 但对比起来
[14:44｜我有上将潘凤｜消息2845] 我还是喜欢做科技产业
[14:44｜我有上将潘凤｜消息2846] 产业趋势
